case_id,runs,case_kind,pass_rate,planner_family_accuracy,planner_binding_accuracy,planner_first_pass_rate,planner_retry_rate,planner_retry_classes,planner_retry_recovery_rate,planner_normalization_rate,tool_selection_accuracy,tool_argument_accuracy,tool_first_pass_rate,tool_retry_rate,tool_retry_recovery_rate,execution_accuracy,guardrail_accuracy,latency_mean_seconds,latency_median_seconds,planner_statuses,requested_tools,failure_count
hr_categorical_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.0027,4.0027,validated,run_categorical_association,0
hr_categorical_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8294,3.8294,validated,run_categorical_association,0
hr_distribution_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8814,3.8814,validated,run_distribution,0
hr_distribution_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.922,3.922,validated,run_distribution,0
hr_group_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7588,3.7588,validated,run_group_comparison,0
hr_group_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8678,3.8678,validated,run_group_comparison,0
hr_guardrail_missing_bonus_fr,1,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.6951,7.6951,blocked,none,0
hr_guardrail_missing_fiscal_year_en,1,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,8.2581,8.2581,blocked,none,0
hr_quantitative_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1511,4.1511,validated,run_quantitative_association,0
hr_quantitative_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,8.6761,8.6761,validated,run_quantitative_association,0
hr_time_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.2411,4.2411,validated,run_time_series,0
hr_time_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1948,4.1948,validated,run_time_series,0
sales_categorical_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.0106,4.0106,validated,run_categorical_association,0
sales_categorical_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1024,4.1024,validated,run_categorical_association,0
sales_distribution_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7585,3.7585,validated,run_distribution,0
sales_distribution_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8087,3.8087,validated,run_distribution,0
sales_group_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7872,3.7872,validated,run_group_comparison,0
sales_group_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8156,3.8156,validated,run_group_comparison,0
sales_guardrail_missing_fiscal_period_fr,1,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,8.1324,8.1324,blocked,none,0
sales_guardrail_missing_margin_en,1,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,8.0678,8.0678,blocked,none,0
sales_quantitative_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9054,3.9054,validated,run_quantitative_association,0
sales_quantitative_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9113,3.9113,validated,run_quantitative_association,0
sales_time_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.3494,4.3494,validated,run_time_series,0
sales_time_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.51,4.51,validated,run_time_series,0
