case_id,runs,case_kind,pass_rate,planner_family_accuracy,planner_binding_accuracy,planner_first_pass_rate,planner_retry_rate,planner_retry_classes,planner_retry_recovery_rate,planner_normalization_rate,tool_selection_accuracy,tool_argument_accuracy,tool_first_pass_rate,tool_retry_rate,tool_retry_recovery_rate,execution_accuracy,guardrail_accuracy,latency_mean_seconds,latency_median_seconds,planner_statuses,requested_tools,failure_count
categorical_overtime_left,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8895,3.8895,validated,run_categorical_association,0
distribution_salary,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8636,3.8636,validated,run_distribution,0
group_salary_department,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.698,3.698,validated,run_group_comparison,0
guardrail_missing_year,1,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.8399,7.8399,blocked,none,0
quantitative_salary_training,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,6.0095,6.0095,validated,run_quantitative_association,0
sales_categorical_channel_returned,1,executable,0.0,0.0,0.0,0.0,1.0,unresolved_retry,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,7.5916,7.5916,rejected,none,1
sales_distribution_revenue,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9369,3.9369,validated,run_distribution,0
sales_group_revenue_region,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9025,3.9025,validated,run_group_comparison,0
sales_guardrail_missing_profit,1,guardrail,0.0,1.0,,1.0,0.0,none,,1.0,,,,,,0.0,0.0,3.9924,3.9924,validated,run_distribution,1
sales_quantitative_revenue_marketing,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1366,4.1366,validated,run_quantitative_association,0
sales_time_revenue_order_date,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.254,4.254,validated,run_time_series,0
time_salary_snapshot,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1975,4.1975,validated,run_time_series,0
