case_id,repeat_index,objective,expected_family,planner_status,planner_family,planner_family_correct,planner_bindings_correct,planner_outcome_correct,planner_attempt_count,planner_retry_count,planner_first_pass,planner_recovered_after_retry,planner_retry_class,planner_normalization_count,expected_tool,requested_tool,tool_selection_correct,tool_arguments_correct,tool_attempt_count,tool_retry_count,tool_first_pass,tool_recovered_after_retry,should_execute,execution_observed,execution_correct,chart_type_expected,chart_type_observed,chart_type_correct,guardrail_correct,case_pass,latency_seconds,planner_rule_version,native_tool_rule_version,pipeline_rule_version,failure_reasons
hr_quantitative_natural_fr,1,Est-ce que salary augmente quand training_hours augmente ?,quantitative_association,validated,quantitative_association,True,True,True,1,0,True,False,none,0,run_quantitative_association,run_quantitative_association,True,True,1,0,True,False,True,True,True,scatter,scatter,True,True,True,6.0978,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hr_quantitative_natural_en,1,Is salary related to training_hours?,quantitative_association,validated,quantitative_association,True,True,True,1,0,True,False,none,0,run_quantitative_association,run_quantitative_association,True,True,1,0,True,False,True,True,True,scatter,scatter,True,True,True,4.1477,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hr_categorical_natural_fr,1,Le fait de faire overtime semble-t-il lié à left_company ?,categorical_association,validated,categorical_association,True,True,True,1,0,True,False,none,1,run_categorical_association,run_categorical_association,True,True,1,0,True,False,True,True,True,heatmap,heatmap,True,True,True,3.8342,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hr_categorical_natural_en,1,Are overtime and left_company associated?,categorical_association,validated,categorical_association,True,True,True,1,0,True,False,none,1,run_categorical_association,run_categorical_association,True,True,1,0,True,False,True,True,True,heatmap,heatmap,True,True,True,4.0253,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hr_group_natural_fr,1,Je voudrais comparer les niveaux de salary entre les différents department.,group_comparison,validated,group_comparison,True,True,True,1,0,True,False,none,2,run_group_comparison,run_group_comparison,True,True,1,0,True,False,True,True,True,boxplot,boxplot,True,True,True,3.9367,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hr_group_natural_en,1,Compare salary across department.,group_comparison,validated,group_comparison,True,True,True,1,0,True,False,none,3,run_group_comparison,run_group_comparison,True,True,1,0,True,False,True,True,True,boxplot,boxplot,True,True,True,4.006,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hr_distribution_natural_fr,1,À quoi ressemble la répartition de salary ?,distribution,validated,distribution,True,True,True,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,4.026,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hr_distribution_natural_en,1,Show me the distribution of salary.,distribution,validated,distribution,True,True,True,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.9192,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hr_time_natural_fr,1,Comment évolue la médiane de salary au fil de snapshot_date ?,time_series,validated,time_series,True,True,True,1,0,True,False,none,2,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.2131,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hr_time_natural_en,1,Track median salary over snapshot_date.,time_series,validated,time_series,True,True,True,1,0,True,False,none,0,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.2593,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hr_guardrail_missing_bonus_fr,1,Montre-moi la distribution de bonus.,distribution,blocked,distribution,True,True,True,2,1,False,True,guardrail_abstention,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.84,ai_analytical_planner_v0.13,,ai_native_pipeline_v0.2,
