case_id,runs,case_kind,pass_rate,planner_family_accuracy,planner_binding_accuracy,planner_first_pass_rate,planner_retry_rate,planner_retry_classes,planner_retry_recovery_rate,planner_normalization_rate,tool_selection_accuracy,tool_argument_accuracy,tool_first_pass_rate,tool_retry_rate,tool_retry_recovery_rate,execution_accuracy,guardrail_accuracy,latency_mean_seconds,latency_median_seconds,planner_statuses,requested_tools,failure_count
hr_categorical_natural_en,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.060533333333333,4.0659,validated,run_categorical_association,0
hr_categorical_natural_fr,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8916333333333335,3.901,validated,run_categorical_association,0
hr_distribution_natural_en,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9590666666666667,3.9572,validated,run_distribution,0
hr_distribution_natural_fr,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.012866666666667,4.026,validated,run_distribution,0
hr_group_natural_en,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9121333333333332,3.9649,validated,run_group_comparison,0
hr_group_natural_fr,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9400666666666666,3.9367,validated,run_group_comparison,0
hr_guardrail_missing_bonus_fr,3,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.881566666666666,7.84,blocked,none,0
hr_guardrail_missing_fiscal_year_en,3,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,8.127266666666667,8.1213,blocked,none,0
hr_quantitative_natural_en,3,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.172266666666666,4.1742,validated,run_quantitative_association,0
hr_quantitative_natural_fr,3,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.6203666666666665,3.8897,validated,run_quantitative_association,0
hr_time_natural_en,3,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.2984,4.2717,validated,run_time_series,0
hr_time_natural_fr,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.2616000000000005,4.243,validated,run_time_series,0
sales_categorical_natural_en,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.055166666666667,4.0608,validated,run_categorical_association,0
sales_categorical_natural_fr,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.100633333333333,4.0779,validated,run_categorical_association,0
sales_distribution_natural_en,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.6424666666666665,3.649,validated,run_distribution,0
sales_distribution_natural_fr,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.6845,3.6807,validated,run_distribution,0
sales_group_natural_en,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7864,3.7818,validated,run_group_comparison,0
sales_group_natural_fr,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8123,3.8117,validated,run_group_comparison,0
sales_guardrail_missing_fiscal_period_fr,3,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,8.021566666666667,7.9878,blocked,none,0
sales_guardrail_missing_margin_en,3,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.867466666666666,7.8237,blocked,none,0
sales_quantitative_natural_en,3,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8981,3.8834,validated,run_quantitative_association,0
sales_quantitative_natural_fr,3,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8658,3.8266,validated,run_quantitative_association,0
sales_time_natural_en,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.3977,4.3283,validated,run_time_series,0
sales_time_natural_fr,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.382033333333333,4.3402,validated,run_time_series,0
