case_id,repeat_index,objective,expected_family,planner_status,planner_family,planner_family_correct,planner_bindings_correct,planner_outcome_correct,dataset_selection_applicable,dataset_selection_correct,expected_dataset_filenames,actual_dataset_filenames,planner_attempt_count,planner_retry_count,planner_first_pass,planner_recovered_after_retry,planner_retry_class,planner_normalization_count,expected_tool,requested_tool,tool_selection_correct,tool_arguments_correct,tool_attempt_count,tool_retry_count,tool_first_pass,tool_recovered_after_retry,should_execute,execution_observed,execution_correct,chart_type_expected,chart_type_observed,chart_type_correct,guardrail_correct,case_pass,latency_seconds,planner_rule_version,native_tool_rule_version,pipeline_rule_version,failure_reasons
hard_exact_revenue_distribution,1,Analyser la distribution de revenue.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,6.083,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_exact_net_revenue_distribution,1,Analyser la distribution de net_revenue.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.8422,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_exact_profit_margin_distribution,1,Show me the distribution of profit_margin.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.7786,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_missing_margin_no_substitution,1,Show me the distribution of margin.,distribution,blocked,distribution,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.8888,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_time_order_date_exact,1,Track median revenue over order_date.,time_series,validated,time_series,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.1762,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_time_fiscal_period_exact,1,Analyser l'évolution de la médiane de revenue selon fiscal_period.,time_series,validated,time_series,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.0696,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_group_gross_profit_region,1,Comparer gross_profit selon region.,group_comparison,validated,group_comparison,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_group_comparison,run_group_comparison,True,True,1,0,True,False,True,True,True,boxplot,boxplot,True,True,True,3.8605,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_categorical_returned_channel,1,Does returned depend on channel?,categorical_association,validated,categorical_association,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_categorical_association,run_categorical_association,True,True,1,0,True,False,True,True,True,heatmap,heatmap,True,True,True,3.922,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_mixed_revenue_region,1,Est-ce que revenue diffère selon region ?,group_comparison,validated,group_comparison,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,3,run_group_comparison,run_group_comparison,True,True,1,0,True,False,True,True,True,boxplot,boxplot,True,True,True,3.8047,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_unsupported_categorical_distribution,1,Analyser la distribution de region.,distribution,rejected,distribution,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,1,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.1343,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_ambiguous_performance_region,1,Analyse la performance par region.,unresolved,ambiguous,group_comparison,True,True,True,False,True,,,1,0,True,False,none,3,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.46,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_ambiguous_results_over_time,1,Montre-moi l'évolution des résultats.,unresolved,rejected,time_series,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.6405,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_multi_dataset_online_explicit,1,"Dans le dataset online_sales.csv, analyse la distribution de revenue.",distribution,validated,distribution,True,True,True,True,True,online_sales.csv,online_sales.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.7048,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_multi_dataset_retail_explicit,1,"In dataset retail_sales.csv, track median revenue over order_date.",time_series,validated,time_series,True,True,True,True,True,retail_sales.csv,retail_sales.csv,1,0,True,False,none,0,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.2258,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_multi_dataset_unspecified,1,Analyser la distribution de revenue.,distribution,ambiguous,distribution,True,True,True,False,True,,,1,0,True,False,none,1,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.4253,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_multi_dataset_cross_compare,1,Compare revenue between online_sales.csv and retail_sales.csv.,unresolved,blocked,unresolved,True,True,True,False,True,,,1,0,True,False,none,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.6124,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
