case_id,runs,case_kind,pass_rate,planner_family_accuracy,planner_binding_accuracy,planner_dataset_selection_accuracy,planner_first_pass_rate,planner_retry_rate,planner_retry_classes,planner_retry_recovery_rate,planner_normalization_rate,tool_selection_accuracy,tool_argument_accuracy,tool_first_pass_rate,tool_retry_rate,tool_retry_recovery_rate,execution_accuracy,guardrail_accuracy,latency_mean_seconds,latency_median_seconds,planner_statuses,requested_tools,failure_count
hard_ambiguous_performance_region,3,guardrail,1.0,1.0,,,1.0,0.0,none,,1.0,,,,,,1.0,1.0,3.558333333333333,3.5495,ambiguous,none,0
hard_ambiguous_results_over_time,3,guardrail,1.0,1.0,,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.741933333333334,7.7182,rejected,none,0
hard_categorical_returned_channel,3,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9008000000000003,3.8328,validated,run_categorical_association,0
hard_exact_net_revenue_distribution,3,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.016766666666666,4.0794,validated,run_distribution,0
hard_exact_profit_margin_distribution,3,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8832,3.8726,validated,run_distribution,0
hard_exact_revenue_distribution,3,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.643066666666667,4.0202,validated,run_distribution,0
hard_group_gross_profit_region,3,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9273333333333333,3.8875,validated,run_group_comparison,0
hard_missing_margin_no_substitution,3,guardrail,1.0,1.0,,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,8.002566666666667,7.9695,blocked,none,0
hard_mixed_revenue_region,3,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9491666666666667,3.9851,validated,run_group_comparison,0
hard_multi_dataset_cross_compare,3,guardrail,1.0,1.0,,,1.0,0.0,none,,0.0,,,,,,1.0,1.0,3.6885666666666665,3.683,blocked,none,0
hard_multi_dataset_online_explicit,3,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7428,3.7426,validated,run_distribution,0
hard_multi_dataset_retail_explicit,3,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.301933333333333,4.304,validated,run_time_series,0
hard_multi_dataset_unspecified,3,guardrail,1.0,1.0,,,1.0,0.0,none,,1.0,,,,,,1.0,1.0,3.5101999999999998,3.4868,ambiguous,none,0
hard_time_fiscal_period_exact,3,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1125,4.0843,validated,run_time_series,0
hard_time_order_date_exact,3,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.232166666666667,4.2265,validated,run_time_series,0
hard_unsupported_categorical_distribution,3,guardrail,1.0,1.0,,,0.0,1.0,guardrail_abstention,1.0,1.0,,,,,,1.0,1.0,7.484166666666667,7.5321,rejected,none,0
