case_id,runs,case_kind,pass_rate,planner_family_accuracy,planner_binding_accuracy,planner_dataset_selection_accuracy,planner_first_pass_rate,planner_retry_rate,planner_retry_classes,planner_retry_recovery_rate,planner_normalization_rate,tool_selection_accuracy,tool_argument_accuracy,tool_first_pass_rate,tool_retry_rate,tool_retry_recovery_rate,execution_accuracy,guardrail_accuracy,latency_mean_seconds,latency_median_seconds,planner_statuses,requested_tools,failure_count
hard_ambiguous_performance_region,1,guardrail,0.0,1.0,,,1.0,0.0,none,,1.0,,,,,,0.0,1.0,3.7981,3.7981,validated,run_group_comparison,1
hard_ambiguous_results_over_time,1,guardrail,1.0,1.0,,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.6865,7.6865,rejected,none,0
hard_categorical_returned_channel,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7608,3.7608,validated,run_categorical_association,0
hard_exact_net_revenue_distribution,1,executable,0.0,1.0,0.0,0.0,0.0,1.0,unresolved_retry,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,7.6487,7.6487,rejected,none,1
hard_exact_profit_margin_distribution,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9965,3.9965,validated,run_distribution,0
hard_exact_revenue_distribution,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,8.8139,8.8139,validated,run_distribution,0
hard_group_gross_profit_region,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8011,3.8011,validated,run_group_comparison,0
hard_missing_margin_no_substitution,1,guardrail,1.0,1.0,,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.9014,7.9014,blocked,none,0
hard_mixed_revenue_region,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8082,3.8082,validated,run_group_comparison,0
hard_multi_dataset_cross_compare,1,guardrail,1.0,1.0,,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.8992,7.8992,blocked,none,0
hard_multi_dataset_online_explicit,1,executable,0.0,1.0,0.0,0.0,0.0,1.0,unresolved_retry,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,7.5425,7.5425,rejected,none,1
hard_multi_dataset_retail_explicit,1,executable,0.0,0.0,0.0,0.0,0.0,1.0,unresolved_retry,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,8.0962,8.0962,blocked,none,1
hard_multi_dataset_unspecified,1,guardrail,0.0,1.0,,,1.0,0.0,none,,1.0,,,,,,0.0,1.0,3.7123,3.7123,validated,run_distribution,1
hard_time_fiscal_period_exact,1,executable,0.0,1.0,0.0,0.0,0.0,1.0,unresolved_retry,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,8.0067,8.0067,rejected,none,1
hard_time_order_date_exact,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1691,4.1691,validated,run_time_series,0
hard_unsupported_categorical_distribution,1,guardrail,1.0,1.0,,,0.0,1.0,guardrail_abstention,1.0,1.0,,,,,,1.0,1.0,7.4089,7.4089,rejected,none,0
