case_id,repeat_index,objective,expected_family,planner_status,planner_family,planner_family_correct,planner_bindings_correct,planner_outcome_correct,dataset_selection_applicable,dataset_selection_correct,expected_dataset_filenames,actual_dataset_filenames,planner_attempt_count,planner_retry_count,planner_first_pass,planner_recovered_after_retry,planner_retry_class,planner_normalization_count,expected_tool,requested_tool,tool_selection_correct,tool_arguments_correct,tool_attempt_count,tool_retry_count,tool_first_pass,tool_recovered_after_retry,should_execute,execution_observed,execution_correct,chart_type_expected,chart_type_observed,chart_type_correct,guardrail_correct,case_pass,latency_seconds,planner_rule_version,native_tool_rule_version,pipeline_rule_version,failure_reasons
hard_exact_revenue_distribution,1,Analyser la distribution de revenue.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,0,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,8.8139,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_exact_net_revenue_distribution,1,Analyser la distribution de net_revenue.,distribution,rejected,distribution,True,False,False,True,False,semantic_collision_benchmark.csv,,2,1,False,False,unresolved_retry,2,run_distribution,,False,False,0,0,False,False,True,False,False,histogram,,False,True,False,7.6487,ai_analytical_planner_v0.13,,ai_native_pipeline_v0.2,planner_status=rejected | bindings={} | datasets=[]; expected=['semantic_collision_benchmark.csv'] | tool=none | tool_args={} | execution_observed=False | chart_type=none
hard_exact_profit_margin_distribution,1,Show me the distribution of profit_margin.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.9965,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_missing_margin_no_substitution,1,Show me the distribution of margin.,distribution,blocked,distribution,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.9014,ai_analytical_planner_v0.13,,ai_native_pipeline_v0.2,
hard_time_order_date_exact,1,Track median revenue over order_date.,time_series,validated,time_series,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.1691,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_time_fiscal_period_exact,1,Analyser l'évolution de la médiane de revenue selon fiscal_period.,time_series,rejected,time_series,True,False,False,True,False,semantic_collision_benchmark.csv,,2,1,False,False,unresolved_retry,2,run_time_series,,False,False,0,0,False,False,True,False,False,line_band,,False,True,False,8.0067,ai_analytical_planner_v0.13,,ai_native_pipeline_v0.2,planner_status=rejected | bindings={} | datasets=[]; expected=['semantic_collision_benchmark.csv'] | tool=none | tool_args={} | execution_observed=False | chart_type=none
hard_group_gross_profit_region,1,Comparer gross_profit selon region.,group_comparison,validated,group_comparison,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,2,run_group_comparison,run_group_comparison,True,True,1,0,True,False,True,True,True,boxplot,boxplot,True,True,True,3.8011,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_categorical_returned_channel,1,Does returned depend on channel?,categorical_association,validated,categorical_association,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_categorical_association,run_categorical_association,True,True,1,0,True,False,True,True,True,heatmap,heatmap,True,True,True,3.7608,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_mixed_revenue_region,1,Est-ce que revenue diffère selon region ?,group_comparison,validated,group_comparison,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,3,run_group_comparison,run_group_comparison,True,True,1,0,True,False,True,True,True,boxplot,boxplot,True,True,True,3.8082,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_unsupported_categorical_distribution,1,Analyser la distribution de region.,distribution,rejected,distribution,True,True,True,False,True,,,2,1,False,True,guardrail_abstention,1,,,True,True,0,0,True,False,False,False,True,,,True,True,True,7.4089,ai_analytical_planner_v0.13,,ai_native_pipeline_v0.2,
hard_ambiguous_performance_region,1,Analyse la performance par region.,unresolved,validated,group_comparison,True,True,False,False,True,,semantic_collision_benchmark.csv,1,0,True,False,none,3,,run_group_comparison,False,False,1,0,True,False,False,True,False,,boxplot,True,True,False,3.7981,ai_analytical_planner_v0.13,native_tool_calling_v0.6,ai_native_pipeline_v0.2,"planner_status=validated | tool=run_group_comparison | tool_args={'dataset_id': 'dataset:0001', 'group_column': 'region', 'value_column': 'revenue'} | execution_observed=True"
