case_id,runs,case_kind,pass_rate,planner_family_accuracy,planner_binding_accuracy,planner_first_pass_rate,planner_retry_rate,planner_retry_classes,planner_retry_recovery_rate,planner_normalization_rate,tool_selection_accuracy,tool_argument_accuracy,tool_first_pass_rate,tool_retry_rate,tool_retry_recovery_rate,execution_accuracy,guardrail_accuracy,latency_mean_seconds,latency_median_seconds,planner_statuses,requested_tools,failure_count
categorical_overtime_left,3,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8899333333333335,3.8899,validated,run_categorical_association,0
distribution_salary,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.91,3.9281,validated,run_distribution,0
group_salary_department,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7985333333333333,3.8235,validated,run_group_comparison,0
guardrail_missing_year,3,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,8.185633333333334,8.2517,blocked,none,0
quantitative_salary_training,3,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.645333333333333,3.8621,validated,run_quantitative_association,0
sales_categorical_channel_returned,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.208333333333333,4.209,validated,run_categorical_association,0
sales_distribution_revenue,3,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8730333333333333,3.8737,validated,run_distribution,0
sales_group_revenue_region,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7394333333333334,3.7431,validated,run_group_comparison,0
sales_guardrail_missing_profit,3,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,8.374866666666668,8.3015,rejected,none,0
sales_quantitative_revenue_marketing,3,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.3135,4.3394,validated,run_quantitative_association,0
sales_time_revenue_order_date,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.226066666666667,4.19,validated,run_time_series,0
time_salary_snapshot,3,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1886,4.1908,validated,run_time_series,0
