case_id,runs,case_kind,pass_rate,planner_family_accuracy,planner_binding_accuracy,planner_first_pass_rate,planner_retry_rate,planner_retry_classes,planner_retry_recovery_rate,planner_normalization_rate,tool_selection_accuracy,tool_argument_accuracy,tool_first_pass_rate,tool_retry_rate,tool_retry_recovery_rate,execution_accuracy,guardrail_accuracy,latency_mean_seconds,latency_median_seconds,planner_statuses,requested_tools,failure_count
hr_categorical_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9324,3.9324,validated,run_categorical_association,0
hr_categorical_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7734,3.7734,validated,run_categorical_association,0
hr_distribution_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7863,3.7863,validated,run_distribution,0
hr_distribution_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8074,3.8074,validated,run_distribution,0
hr_group_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.6368,3.6368,validated,run_group_comparison,0
hr_group_natural_fr,1,executable,1.0,1.0,1.0,0.0,1.0,execution_recovery,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,7.2489,7.2489,validated,run_group_comparison,0
hr_guardrail_missing_bonus_fr,1,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.4773,7.4773,blocked,none,0
hr_guardrail_missing_fiscal_year_en,1,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.7594,7.7594,blocked,none,0
hr_quantitative_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.0782,4.0782,validated,run_quantitative_association,0
hr_quantitative_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,8.7305,8.7305,validated,run_quantitative_association,0
hr_time_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1316,4.1316,validated,run_time_series,0
hr_time_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.0671,4.0671,validated,run_time_series,0
sales_categorical_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9269,3.9269,validated,run_categorical_association,0
sales_categorical_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9207,3.9207,validated,run_categorical_association,0
sales_distribution_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.5564,3.5564,validated,run_distribution,0
sales_distribution_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.5825,3.5825,validated,run_distribution,0
sales_group_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.6732,3.6732,validated,run_group_comparison,0
sales_group_natural_fr,1,executable,0.0,1.0,0.0,0.0,1.0,unresolved_retry,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,6.9111,6.9111,rejected,none,1
sales_guardrail_missing_fiscal_period_fr,1,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.7841,7.7841,blocked,none,0
sales_guardrail_missing_margin_en,1,guardrail,0.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,0.0,7.6253,7.6253,blocked,none,1
sales_quantitative_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.727,3.727,validated,run_quantitative_association,0
sales_quantitative_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.6852,3.6852,validated,run_quantitative_association,0
sales_time_natural_en,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.2096,4.2096,validated,run_time_series,0
sales_time_natural_fr,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.2092,4.2092,validated,run_time_series,0
